Date debut;Date fin;Titre compétition;Ville;Code structure;Club organisateur;Code region;Departement;Discipline;Type;Saison;Mail;Site web;Lieu;Adresse;CP;Ville compétition;Long;Lat;Mandat;Etat;EprvId
03/10/2026;03/10/2026;LES 12 HEURES D’ONNAING (AMICALE);ONNAING;0759345;LA FLÈCHE ONNAINGEOISE;CR07;590;Tir à 18m;par équipe;2027;;;;;;;;;;Validée;79488
03/10/2026;03/10/2026;OCTOBRE ROSE;MARLY LA VILLE;0895282;CIE D'ARC DE MARLY LA VILLE;CR08;950;Loisirs Débutant et confirmé;uniquement équipe;2027;capitaine@cie-arc-marlylaville.fr;http://cie-arc-marlylaville.fr;COSEC;Rue 64 Rue Serge Laverdure;95670;MARLY LA VILLE;2.50238;49.08814;;Validée;79035
03/10/2026;04/10/2026;TOURNOI DE ROUEN;ROUEN;0976124;ARC ROUEN CLUB;CR09;760;Tir à 18m;individuel;2027;presidence.arcrouenclub@gmail.com;http://arc-rouen-club.jimdofree.com/;ESPACE PETITE BOUVERIE;Allée PIERRE DE COUBERTIN;76000;ROUEN;;;;Validée;77345
03/10/2026;04/10/2026;TOURNOI DE ROUEN;ROUEN;0976124;ARC ROUEN CLUB;CR09;760;Para-tir à l'arc à 18m;individuel;2027;;;;;;;;;;Validée;77346
03/10/2026;04/10/2026;CONCOURS EN SALLE 2X18M;CARENTAN-LES-MARAIS;0950073;LES ARCHERS DU MARAIS;CR09;500;Tir à 18m;individuel;2027;archers-du-marais@hotmail.fr;http://lesarchersdumarais.e-monsite.com;Gymnase Gambetta;Rue du gibet;50500;CARENTAN;-1.25395;49.30138;;Validée;79019
03/10/2026;04/10/2026;CONCOURS EN SALLE 2X18M;CARENTAN-LES-MARAIS;0950073;LES ARCHERS DU MARAIS;CR09;500;Para-tir à l'arc à 18m;individuel;2027;;;;;;;;;;Validée;79020
03/10/2026;04/10/2026;TIR EN CAMPAGNE AZUR;AZUR;1040125;ARCHERS D'AZUR;CR10;400;Tir en Campagne;individuel;2027;guillaume.daleau@gmail.com;;Camping Cap Fun Paillotte;66 Route des campings;40140;AZUR;-1.30911;43.78707;;Validée;78370
03/10/2026;04/10/2026;TIR CAMPAGNE;SAINTES;1017013;ARCHERS SAINTAIS;CR10;170;Tir en Campagne;individuel;2027;archerssaintais17@gmail.com;https://archersaintais.sportsregions.fr;Terrain de la Pichauderie;162 Rue de Lormont;17100;SAINTES;-0.61664;45.75881;;Validée;78431
03/10/2026;03/10/2026;CHALLENGE COMPOUND;MARMANDE;1047147;ARCHERS CLUB MARMANDAIS;CR10;470;Loisirs Confirmé;individuel;2027;acm47@free.fr;http://acm47.clubeo.com/;Salle de sport;104 Avenue commandant Christian Baylac;47200;MARMANDE;0.17586;44.50101;;Validée;78636
03/10/2026;03/10/2026;TIR SALLE;AIGUILLON;1047140;CLUB ARCHERS AIGUILLONNAIS;CR10;470;Tir à 18m;individuel;2027;cathylarrieu@aol.com;3 résidence la cibadere;GYMNASE MARCEL DURAND;2 Rue 19 MARS 1962;47190;AIGUILLON;0.34428;44.28992;;Validée;79251
03/10/2026;03/10/2026;WEEK-END TIR EN CAMPAGNE;SAUMUR;1249066;JEANNE D'ARC DE SAUMUR TIR A L'ARC;CR12;490;Tir en Campagne;individuel;2027;patrickmartin49@orange.fr;http://ja-saumur-tiralarc.com;bois de Terrefort;Rue des romans;49400;SAUMUR;-0.1185;47.2535;;Validée;77415
03/10/2026;04/10/2026;25M BARCELONNETTE;BARCELONNETTE;1304008;1ERE CIE D'ARC DE BARCELONNETTE UBAYE;CR13;040;Tir à 18m;individuel;2027;tir.arc.ubaye@hotmail.fr;https://arc-ubaye.sportsregions.fr/;Gymnase Jean Fernandez;Allée des Dames;04400;BARCELONNETTE;6.6594;44.38491;;Validée;77402
03/10/2026;04/10/2026;25M BARCELONNETTE;BARCELONNETTE;1304008;1ERE CIE D'ARC DE BARCELONNETTE UBAYE;CR13;040;Para-tir à l'arc à 18m;individuel;2027;;;;;;;;;;Validée;77403
04/09/2026;06/09/2026;CHAMPIONNAT DU RHONE ET CHAMPIONNAT REGIONAL 2026;69;0169176;CIE ARCHERS ANSOIS;CR01;690;Tir Beursault;individuel;2026;m.delayat65@gmail.com;https://archers_ansois.sportsregions.fr;Cie Archers Ansois;Chemin Des Archers;69480;ANSE;;;https://extranet.ffta.fr/medias/documents_epreuves/110170e40a7dad.pdf;Validée;75652
04/09/2026;04/09/2026;FORUM DES ASSOCIATIONS;LAGNIEU;0101020;ARC CLUB PLAINE DE L'AIN SAINTE JULIE;CR01;010;Loisirs Débutant et confirmé;individuel;2026;syllagarde@free.fr;http://acpa-sainte-julie.sportsregions.fr/;SALLE POLYVALENTE;Allée GUY DE LA VERPILLIERE;01150;LAGNIEU;5.35173;45.89793;;Validée;75628
04/09/2026;06/09/2026;TIR AUX POMMES;NAUROY;0702013;TIR A L'ARC NAUROY;CR07;020;Loisirs Débutant et confirmé;individuel;2026;jlm79@wanadoo.fr;;"Tir à l&apos;arc";"Rue rue du tir à l&apos;arc";02420;NAUROY;;;;Validée;76165
04/09/2026;06/09/2026;TIR AUX POMMES;02420 NAUROY;0702013;TIR A L'ARC NAUROY;CR07;020;Loisirs Débutant et confirmé;individuel;2027;jlm79@wanadoo.fr;;"Jeu d&apos;arc";"Rue Rue du jeu d&apos;arc";02420;NAUROY;;;;Validée;78729
04/10/2026;04/10/2026;TIR NATURE LIFFRE;LIFFRE;0335073;LES ARCHERS DE LIFFRE;CR03;350;Tir Nature;individuel;2027;accueil@lesarchersdeliffre.onmicrosoft.com;http://lesarchersdeliffre.jimdo.com/;ESPACE SPORTIF LA CROISETTE;Impasse LA CROISETTE;35340;LIFFRE;-1.52022;48.21701;;Validée;77277
04/10/2026;04/10/2026;TIR 3D;THEILLAY;0418019;VIERZON 1ERE CIE ARCHERS;CR04;180;Tir 3D;individuel;2027;antonio.sebes@gmail.com;http://www.1ereCAV.org;Pépinière Letteveau;D41   Route D41 Direction Neuvy sur Barangeon;41300;THEILLAY;2.04076;47.23025;;Validée;78001
04/10/2026;04/10/2026;LES 12 HEURES D’ONNAING (AMICAL);ONNAING;0759345;LA FLÈCHE ONNAINGEOISE;CR07;590;Loisirs Confirmé;individuel;2027;audrey59264@free.fr;https://m.facebook.com/groups/499685180672180/;Salle Béatrice hess;Avenue Avenue de dunkerque;59264;ONNAING;3.58293;50.38222;;Validée;79487
04/10/2026;04/10/2026;CHAMPIONNAT DE FRANCE;ST GENEVIEVE DES BOIS;0891162;LES ARCHERS DU DONJON;CR08;910;Tir Beursault;individuel;2027;jm.lebegue@free.fr;https://archers-donjon-91.sportsregions.fr/;;;;;;;https://extranet.ffta.fr/medias/documents_epreuves/11034e7215fe5f.pdf;Validée;74798
04/10/2026;04/10/2026;CONCOURS NATURE 21 CIBLES-2 DEPARTS;ROUEN;0976132;ARCHERS DU ROY GUILLAUME;CR09;760;Tir Nature;individuel;2027;robert.blot@sfr.fr;http://www.arg76.fr/;ESPACE PETITE BOUVERIE;20 Allée  Pierre de Coubertin;76000;ROUEN;;;;Validée;78561
04/10/2026;04/10/2026;TIR NATURE 4 OCTOBRE 2026;BLANQUEFORT;1033116;INDIAN'S ARC;CR10;330;Tir Nature;individuel;2027;indiansarc33@gmail.com;http://www.indiansarc.fr;SITE DE TANAIS;Rue DE LINAS;33290;BLANQUEFORT;;;;Validée;77217
04/10/2026;04/10/2026;CONCOURS NATURE 2 DÉPARTS DIMANCHE;GRAULHET;1181205;LES ARCHERS DU DADOU;CR11;810;Tir Nature;individuel;2027;concours.archersdadou@gmail.com;https://lesarchersdudadou.sportsregions.fr/;-;53bis Avenue de Bérénice;81300;GRAULHET;1.97051;43.75755;;Validée;77337
04/10/2026;04/10/2026;TIR NATURE DAUX;DAUX;1131092;LES ARCHERS DE FONSORBES;CR11;310;Tir Nature;individuel;2027;arc.club.fonsorbes@gmail.com;http://archersdefonsorbes.sportsregions.fr/;daux;257 Chemin des rivierres;31700;DAUX;1.25005;43.70795;;Validée;77492
04/10/2026;04/10/2026;WEEK-END TIR EN CAMPAGNE;SAUMUR;1249066;JEANNE D'ARC DE SAUMUR TIR A L'ARC;CR12;490;Tir en Campagne;individuel;2027;patrickmartin49@orange.fr;http://ja-saumur-tiralarc.com;Bois de Terrefort;Rue des Romans;49400;SAUMUR;-0.1185;47.2535;;Validée;77417
04/10/2026;04/10/2026;TIR NATURE - SÉLECTIFS - 2 DÉPARTS;LE PUY SAINTE REPARADE;1313096;ARCHERS DU ROY RENE;CR13;130;Tir Nature;individuel;2027;lesarchersduroyrene@gmail.com;http://www.archersduroyrene.net;-;1078 Chemin St Jean;13610;LE PUY STE REPARADE;5.42672;43.64182;;Validée;77431
05/09/2026;05/09/2026;CONCOURS 3D MARIGNIER SAMEDI;MARIGNIER;0174259;LES ARCHERS DE L'ARVE;CR01;740;Tir 3D;individuel;2026;secretaire@archers-arve.com;https://archers-arve.sportsregions.fr/;Boulodrome;Rue de la cantine;74970;MARIGNIER;6.49366;46.12125;https://extranet.ffta.fr/medias/documents_epreuves/110103b38f3aa4.pdf;Validée;75244
05/09/2026;05/09/2026;FORUM DES ASSOCIATION DAGNEUX/BALAN;DAGNEUX;0101011;LES ARCHERS DU CANTON DE MONTLUEL;CR01;010;Loisirs Débutant et confirmé;individuel;2026;jeromebardou@gmail.com;https://1acm.fr;ESPACE DES BATONNES;Chemin de Marigneux;01120;DAGNEUX;5.08693;45.85273;;Validée;75268
05/09/2026;05/09/2026;FORUM DES ASSOCIATIONS;SAINTE JULIE;0101020;ARC CLUB PLAINE DE L'AIN SAINTE JULIE;CR01;010;Loisirs Débutant et confirmé;individuel;2026;syllagarde@free.fr;http://acpa-sainte-julie.sportsregions.fr/;SALLE DES FETES;Rue DE LA SALLE DES FETES;01150;STE JULIE;5.27748;45.89121;;Validée;75629
05/09/2026;05/09/2026;JOURNEE DECOUVERTE;SAINTE JULIE;0101020;ARC CLUB PLAINE DE L'AIN SAINTE JULIE;CR01;010;Loisirs Débutant et confirmé;individuel;2026;syllagarde@free.fr;http://acpa-sainte-julie.sportsregions.fr/;Terrain Ste julie;Chemin de charmes rondes;01150;STE JULIE;5.28532;45.88394;;Validée;75630
05/09/2026;05/09/2026;CONCOURS NATURE SAMEDI;NANTILLY;0270061;LES COMPAGNONS DES 3 FLAMMES VAL DE GRAY;CR02;700;Tir Nature;individuel;2026;philippe-gauliard@hotmail.fr;http://www.lescompagnonsdes3flammes.fr;les Bouchots;Domaine les Bouchots;70100;NANTILLY;5.51742;47.46457;;Validée;76341
05/09/2026;06/09/2026;BFC BEURSAULT;MÂCON;0271076;COMPAGNIE DES ARCHERS MACONNAIS;CR02;710;Tir Beursault;individuel;2026;archers.maconnais@yahoo.fr;http://archersmaconnais.fr;Complexe sportif Jean BURNICHON 1 rue Léo Lagrange;"Complexe sportif Jean BURNICHON 1 rue Léo Lagrange Rue Rue Léo Lagrange - Complexe sportif de tir à l&apos;arc de Champlevert Jean Burnichon";71000;MACON;4.48374;46.17982;;Validée;76500
05/09/2026;05/09/2026;TAE;RENNES;0335067;COMPAGNIE D'ARCHERS DE RENNES;CR03;350;Para-tir à l'arc en extérieur;individuel;2026;contact@archersderennes.com;http://www.archersderennes.com;Archers de Rennes;4 Avenue des Gayeulles;35700;RENNES;-1.64793;48.13211;;Validée;75298
05/09/2026;05/09/2026;TAE;RENNES;0335067;COMPAGNIE D'ARCHERS DE RENNES;CR03;350;Tir à l'Arc Extérieur;individuel;2026;contact@archersderennes.com;http://www.archersderennes.com;Archers de Rennes;4 Avenue des Gayeulles;35700;RENNES;-1.64793;48.13211;;Validée;75297
05/09/2026;06/09/2026;TIR CAMPAGNE DU MOULIN DES FAÏENCIERS;SARREGUEMINES;0657140;1ERE CIE DE TIR A L'ARC;CR06;570;Tir en Campagne;individuel;2026;maleriat.florence@gmail.com;;Moulin des faïenciers;Avenue De la blies;57200;SARREGUEMINES;7.07503;49.1234;https://extranet.ffta.fr/medias/documents_epreuves/10f8c692821cc7.pdf;Validée;76400
05/09/2026;06/09/2026;CONCOURS BEURSAULT;"L&apos;HAY LES ROSES";0894252;LES ARCHERS DE L'HAY LES ROSES;CR08;940;Tir Beursault;individuel;2027;archers.de.lhay@free.fr;http://archers-de-lhay.fr/;"Compagnie des Archers de L&apos;Haÿ";22 Rue Léon Blum;94240;L HAY LES ROSES;2.32206;48.76468;https://extranet.ffta.fr/medias/documents_epreuves/10f71a7229aa93.pdf;Validée;78195
05/09/2026;05/09/2026;TIR AU FEMININ;BOÉ;1047144;ARCHERS DE BOE;CR10;470;Loisirs Débutant;individuel;2027;jean.marie.tovo@gmail.com;78 Av. François Mitterrand;LES ARCHERS DE BOE;78 Avenue 78 Av. François Mitterrand;47550;BOE;0.65622;44.17176;;Validée;78245
05/09/2026;05/09/2026;LOISIR DE CIEUSE;REAUP LISSE;1047146;ARCHERS DE LA TENAREZE;CR10;470;Loisirs Débutant et confirmé;individuel;2026;jacques.sottoriva@gmail.com;https://archers-tenareze.org;bois de Cieuse;Route de Cieuse;47170;REAUP LISSE;;;;Validée;75744
05/09/2026;05/09/2026;TIR EN CAMPAGNE;ARDIN;1079182;LES ARCHERS DE L'AUTIZE;CR10;790;Tir en Campagne;individuel;2026;lesarchersdelautize@gmail.com;http://www.lesarchersdelautize.com;"Terrain tir à l&apos;arc";Rue Armand Barlet;79160;ARDIN;-0.55118;46.47732;;Validée;76211
05/09/2026;05/09/2026;QUALIF CF 3D;BARBEZIEUX;1016010;M.J.C. SECTION TIR A L'ARC;CR10;160;Tir 3D;individuel;2026;mjcdebarbezieux@wanadoo.fr;https://www.mjcbarbezieux.fr;cabane;Chemin les étangs du couret;16360;CONDEON;;;;Validée;75320
05/09/2026;05/09/2026;TIR DU BOUQUET PROVINCIAL;AULNAY DE SAINTONGE;1017028;FOYER RURAL D'AULNAY;CR10;170;Tir Beursault;individuel;2026;cchillairet@wanadoo.fr;http://archers-du-donjon.sportsregions.fr;TERRAIN DE MONDEVIS;Chemin DU GRAVANT;17470;AULNAY;-0.3518;46.01518;https://extranet.ffta.fr/medias/documents_epreuves/11032b710de436.pdf;Validée;75789
06/08/2026;09/08/2026;CHAMPIONNAT DE FRANCE PAR CATEGORIE;"PARC D&apos;OLHAIN";62000;COMITE DEPARTEMENTAL PAS DE CALAIS;CR07;620;Tir en Campagne;individuel;2026;trebbecom@icloud.com;https://cdta62.fr;;;;;;;;Validée;74799
06/09/2026;06/09/2026;FORUM DES ASSOCIATIONS BLYES;BLYES;0101011;LES ARCHERS DU CANTON DE MONTLUEL;CR01;010;Loisirs Débutant et confirmé;individuel;2026;jeromebardou@gmail.com;https://1acm.fr;Place;Place de la Mairie;01150;BLYES;;;;Validée;75352
06/09/2026;06/09/2026;CONCOURS 3D MARIGNIER DIMANCHE;MARIGNIER;0174259;LES ARCHERS DE L'ARVE;CR01;740;Tir 3D;individuel;2026;secretaire@archers-arve.com;https://archers-arve.sportsregions.fr/;Boulodrome;Rue de la cantine;74970;MARIGNIER;6.49366;46.12125;https://extranet.ffta.fr/medias/documents_epreuves/110103a5be9e06.pdf;Validée;75245
06/09/2026;06/09/2026;FORUM DES ASSOCIATION MONTLUEL;MONTLUEL;0101011;LES ARCHERS DU CANTON DE MONTLUEL;CR01;010;Loisirs Débutant et confirmé;individuel;2026;jeromebardou@gmail.com;https://1acm.fr;Pétanquodrome;Cours de la Portelle;01120;MONTLUEL;5.05877;45.85253;;Validée;75269
06/09/2026;06/09/2026;CONCOURS NATURE DIMANCHE APRES MIDI;NANTILLY;0270061;LES COMPAGNONS DES 3 FLAMMES VAL DE GRAY;CR02;700;Tir Nature;individuel;2026;philippe-gauliard@hotmail.fr;http://www.lescompagnonsdes3flammes.fr;les Bouchots;Domaine les Bouchots;70100;NANTILLY;5.51742;47.46457;;Validée;76344
06/09/2026;06/09/2026;CONCOURS NATURE DIMANCHE MATIN;NANTILLY;0270061;LES COMPAGNONS DES 3 FLAMMES VAL DE GRAY;CR02;700;Tir Nature;individuel;2026;philippe-gauliard@hotmail.fr;http://www.lescompagnonsdes3flammes.fr;les Bouchots;Domaine les Bouchots;70100;NANTILLY;5.51742;47.46457;;Validée;76342
06/09/2026;06/09/2026;TAE;CONCARNEAU;0329035;C.ARCHER PETIT CHATEAU;CR03;290;Tir à l'Arc Extérieur;individuel;2026;val.stephant@laposte.net;https://archersconcarneau.fr;Terrain de Kersaux;Avenue Du Cabellou;29900;CONCARNEAU;-3.89863;47.85818;;Validée;76851
06/09/2026;06/09/2026;CONCOURS 3D MATIN;SIGLOY;0445121;CIE DES ARCHERS DU VAL D'OR;CR04;450;Tir 3D;individuel;2026;florence.jove@orange.fr;https://www.cavo-sigloy.fr/;CARRIERE DE SIGLOY;Chemin CARRIERE DE SIGLOY;45110;SIGLOY;2.20709;47.8402;;Validée;76240
06/09/2026;06/09/2026;CONCOURS 3D APRES-MIDI;SIGLOY;0445121;CIE DES ARCHERS DU VAL D'OR;CR04;450;Tir 3D;individuel;2026;florence.jove@orange.fr;https://www.cavo-sigloy.fr/;CARRIERE DE SIGLOY;Chemin CARRIERE DE SIGLOY;45110;SIGLOY;2.20709;47.8402;;Validée;76241
06/09/2026;06/09/2026;TIR NATURE;MARCONNE;0762291;LA FLECHE AIROISE;CR07;620;Tir Nature;individuel;2026;thomas.iket62@gmail.com;https://www.laflecheairoise.fr;ARCHERS DU RAVIN;8 Rue DU FOND DE MOURIEZ;62140;MARCONNE;2.00829;50.35806;https://extranet.ffta.fr/medias/documents_epreuves/10fa8a74fec3a1.pdf;Validée;76533
06/09/2026;06/09/2026;"CHAMPIONNAT DE L&apos;OISE DE TIR BEURSAULT";ESTREES SAINT DENIS;0760214;COMPAGNIE D'ARC D'ESTREES;CR07;600;Tir Beursault;individuel;2026;ciearcesd@orange.fr;http://ciearcesd.com;"Jeu d&apos;arc";"7 Rue  du jeu d&apos;arc";60190;ESTREES ST DENIS;2.6369;49.43121;;Validée;75701
06/09/2026;06/09/2026;CHAMPIONNAT SOMME BEURSAULT;BROUCHY;0780305;CIE D'ARC DE BROUCHY;CR07;800;Tir Beursault;individuel;2026;regis.fagart@wanadoo.fr;40 rue Poiteux;"Jeu d&apos;arc";"590 Rue de l&apos;eglise";80400;BROUCHY;3.09534;49.71978;;Validée;75065
06/09/2026;06/09/2026;CHAMPIONNAT DE RONDE DU SUD DE L AISNE TAE;CHEZY EN ORXOIS;0702041;CIE D'ARC DE NEUILLY ST FRONT;CR07;020;Tir à l'Arc Extérieur;individuel;2026;philippe.robert98@aliceadsl.fr;https://philipperobert98.wixsite.com/compagniedarcneuilly;Terrain de tir à l arc;Rue De la gare;02810;CHEZY EN ORXOIS;3.18914;49.1281;;Validée;75246
06/09/2026;06/09/2026;"CHAMPIONNAT BEURSAULT RONDE DE L&apos;AISNE";PINON;0702066;CIE D'ARC DE PINON;CR07;020;Tir Beursault;individuel;2026;compagnie.arc.pinon@gmail.com;https://compagniedarcdepinon.sportsregions.fr/;"Jeu d&apos;arc";10 Chemin des hautes fremieres;02320;PINON;3.4489;49.49716;;Validée;75414
06/09/2026;06/09/2026;CHAMPIONNAT RONDE SUD DE L AISNE BEURSAULT;NEUILLY SAINT FRONT;0702041;CIE D'ARC DE NEUILLY ST FRONT;CR07;020;Tir Beursault;individuel;2026;philippe.robert98@aliceadsl.fr;https://philipperobert98.wixsite.com/compagniedarcneuilly;Jeu d arc de Neuilly saint front;Allée Des buttes;02470;NEUILLY ST FRONT;3.26445;49.17123;;Validée;75247
06/09/2026;06/09/2026;PORTES OUVERTES;BURY;0760190;COMPAGNIE D'ARC DE BURY;CR07;600;Loisirs Débutant et confirmé;individuel;2026;besace.marcelle@orange.fr;https://www.arc-bury.com;"COMPAGNIE D&apos;ARC DE BURY";Rue MADAME DUVIVIER;60250;BURY;2.34567;49.31659;;Validée;75507
06/09/2026;06/09/2026;PORTES OUVERTES;VILLEJUIF;0894263;US-VILLEJUIF TIR ARC;CR08;940;Loisirs Débutant;individuel;2027;usv_tiralarc@hotmail.com;http://archersdevillejuif.com/;parc pablo neruda;Rue Paul Bert;94800;VILLEJUIF;2.36429;48.79153;;Validée;79104
06/09/2026;06/09/2026;QUALIF NATURE;BARBEZIEUX;1016010;M.J.C. SECTION TIR A L'ARC;CR10;160;Tir Nature;individuel;2026;mjcdebarbezieux@wanadoo.fr;https://www.mjcbarbezieux.fr;cabane;Chemin les étangs du couret;16360;CONDEON;;;;Validée;75319
06/09/2026;06/09/2026;TIR EN CAMPAGNE;ARDIN;1079182;LES ARCHERS DE L'AUTIZE;CR10;790;Tir en Campagne;individuel;2026;lesarchersdelautize@gmail.com;http://www.lesarchersdelautize.com;"Terrain de tir à l&apos;arc";Rue Armand Barlet;79160;ARDIN;-0.55118;46.47732;;Validée;76212
06/09/2026;06/09/2026;FORUM DES SPORTS;VILLENEUVE SUR LOT;1047154;LES ARCHERS DES DEUX RIVES;CR10;470;Loisirs Débutant;individuel;2027;president.lesarchersdes2rives@gmail.com;http://lesarchersdes2rives.fr/;complexe sportif la myre mory;"Avenue d&apos;agen";47300;VILLENEUVE SUR LOT;0.71345;44.39095;;Validée;78021
06/09/2026;06/09/2026;TIR BEURSAULT;AULNAY DE SAINTONGE;1017028;FOYER RURAL D'AULNAY;CR10;170;Tir Beursault;individuel;2026;cchillairet@wanadoo.fr;http://archers-du-donjon.sportsregions.fr;TERRAIN DE MONDEVIS;Chemin DU GRAVANT;17470;AULNAY;-0.35178;46.0151;https://extranet.ffta.fr/medias/documents_epreuves/11032b85e6c1b5.pdf;Validée;75790
06/09/2026;06/09/2026;FORUM DES SPORTS MARMANDAIS;MARMANDE;1047147;ARCHERS CLUB MARMANDAIS;CR10;470;Loisirs Débutant;individuel;2026;acm47@free.fr;http://acm47.clubeo.com/;Espace Expo;6 Avenue François Mitterand;47200;MARMANDE;0.14332;44.50844;;Validée;76420
06/09/2026;06/09/2026;3D DE RENTREE;POMPIGNAN;1182214;LES ARCHERS DE LABREILLE;CR11;820;Tir 3D;individuel;2026;patriceayral@orange.fr;http://archersdelabreille.sportsregions.fr/;Parcours;Chemin d'Escudès;82600;ST SARDOS;;;;Validée;77044
06/09/2026;06/09/2026;CAMPAGNE CANDE 06 SEPTEMBRE 2026;SEGRE;1249047;CIE DES ARCHERS DU S.O CANDEEN;CR12;490;Tir en Campagne;individuel;2026;archersdusocande@gmail.com;https://archers-du-so-cande.jimdo.com/;CHATEAU DE LA LORIE;Domaine LA LORIE;49500;SEGRE;-0.84967;47.67841;https://extranet.ffta.fr/medias/documents_epreuves/1103810342e094.pdf;Validée;75207
06/09/2026;06/09/2026;CHAMPIONNAT DEPARTEMENTAL BEURSAULT;LA FLECHE;1272098;COMPAGNIE D'ARC DE LA FLECHE;CR12;720;Tir Beursault;individuel;2026;ciearclafeche@gmail.com;https://ciearclafleche.com/;Terrain rue Famille Bizot;Rue Famille Bizot;72200;LA FLECHE;-0.07497;47.69004;;Validée;75398
06/09/2026;06/09/2026;MELI MELO 3;"L&apos;ESCALE";1304013;LES ARCHERS DU SOLEIL;CR13;040;Loisirs Débutant et confirmé;individuel;2027;archersdusoleil@gmail.com;http://archers-du-soleil.club.sportsregions.fr/;PARCOURS DE COULAYES;Montée Des Oliviers;04160;CHATEAU ARNOUX ST AUBAN;6.03729;44.08086;;Validée;78701
06/09/2026;06/09/2026;TIR 3D ET TIR EN CAMPAGNE;PAITA;3899010;LES ARCHERS DE PAITA;CR38;992;Loisirs Débutant et confirmé;individuel;2026;lesarchersdepaita@lagoon.nc;https://lesarchersdepaita.wixsite.com;Terrain club Paita;;98889;;;;;Validée;77033
07/09/2026;07/09/2026;PORTES OUVERTES;DAGNEUX;0101011;LES ARCHERS DU CANTON DE MONTLUEL;CR01;010;Loisirs Débutant et confirmé;individuel;2026;jeromebardou@gmail.com;https://1acm.fr;Gymnase 3CM;Rue de Bressolles;01120;DAGNEUX;5.08407;45.85182;;Validée;75353
